IP,APA,AFE,Config_CH,DAQ_CH,SIPM_type,Run,Bias_conversion_slope,Bias_conversion_intercept,New Vbd(V),New Vbd_error(V),RunFolder,Stringa_DAQch,End,Old Vbd(V),Old Vbd_error(V),Diff Old_New,Coldbox_LN2T Vbd(V),Coldbox_LN2T Vbd_error(V),Diff New_LN2T,Diff Old_LN2T,EndCh,End_AFE
10.73.137.109,2,2,23,27,HPK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03915,0.13382,42.1895,0.0681,Vbd_best_20241007,IP109_CH27,109,42.1959,0.0723,0.006399999999999295,41.43,,0.7595000000000027,0.765900000000002,109_27,109_2
10.73.137.109,2,3,24,30,HPK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03898,0.28645,41.8185,0.0799,Vbd_best_20241007,IP109_CH30,109,41.8124,0.088,-0.006100000000003547,41.24,,0.5784999999999982,0.5723999999999947,109_30,109_3
10.73.137.109,2,3,25,31,HPK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03896,0.30209,42.5936,0.0422,Vbd_best_20241007,IP109_CH31,109,42.5947,0.0465,0.001100000000000989,42.12,,0.4736000000000047,0.4747000000000057,109_31,109_3
10.73.137.109,2,3,26,32,HPK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03895,0.30909,41.7775,0.0674,Vbd_best_20241007,IP109_CH32,109,41.7752,0.0751,-0.002300000000005298,41.15,,0.6275000000000048,0.6251999999999995,109_32,109_3
10.73.137.109,2,3,27,33,HPK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03895,0.31609,41.7979,0.0788,Vbd_best_20241007,IP109_CH33,109,41.8026,0.0852,0.004699999999999704,,,,,109_33,109_3
10.73.137.109,2,3,28,34,HPK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03899,0.27918,42.3585,0.0604,Vbd_best_20241007,IP109_CH34,109,42.3673,0.0617,0.008800000000000807,41.98,,0.3785000000000025,0.3873000000000033,109_34,109_3
10.73.137.109,2,3,29,35,HPK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03898,0.28982,41.7955,0.0488,Vbd_best_20241007,IP109_CH35,109,41.7944,0.0535,-0.0010999999999938836,41.2,,0.5954999999999941,0.5944000000000003,109_35,109_3
10.73.137.109,2,3,30,36,HPK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03899,0.27473,42.4845,0.1639,Vbd_best_20241007,IP109_CH36,109,42.4997,0.15,0.015200000000000102,42.24,,0.24449999999999505,0.25969999999999516,109_36,109_3
10.73.137.109,2,3,31,37,HPK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03896,0.30118,41.7506,0.0523,Vbd_best_20241007,IP109_CH37,109,41.7504,0.0576,-0.00019999999999953388,41.17,,0.5805999999999969,0.5803999999999974,109_37,109_3
10.73.137.109,2,4,32,40,HPK,"[Apr-22-2024-run01, Apr-23-2024-run00, Apr-27-2024-run00, May-02-2024-run00, May-09-2024-run00, May-17-2024-run00, May-28-2024-run00, Jun-18-2024-run00, Jul-29-2024-run00, Sep-24-2024-run00, Oct-04-2024-run00]",0.03934,0.98982,41.7248,0.0506,Vbd_best_20241007,IP109_CH40,109,41.7203,0.0521,-0.0045000000000001705,41.28,,0.44480000000000075,0.4403000000000006,109_40,109_4
