IP	APA	AFE	Config_CH	DAQ_CH	SIPM_type	Runs	Bias_conversion_slope	Bias_conversion_intercept	Vbd(V)	Vbd_error(V)
10.73.137.109	2	1	14	16	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	nan	nan	nan	nan
10.73.137.109	2	1	15	17	FBK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	nan	nan	nan	nan
10.73.137.109	2	2	16	20	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03919	0.08325	41.7557	0.1378
10.73.137.109	2	2	17	21	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03914	0.12850	41.8957	0.0380
10.73.137.109	2	2	18	22	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03913	0.13750	41.8990	0.0588
10.73.137.109	2	2	19	23	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03917	0.09600	42.3563	0.0329
10.73.137.109	2	2	20	24	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03913	0.14125	42.3280	0.1052
10.73.137.109	2	2	21	25	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03912	0.14675	42.0140	0.0723
10.73.137.109	2	2	22	26	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03915	0.11750	42.3492	0.0931
10.73.137.109	2	2	23	27	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03917	0.09900	42.1852	0.0811
10.73.137.109	2	3	24	30	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03900	0.25100	41.7585	0.0665
10.73.137.109	2	3	25	31	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03898	0.26900	42.5742	0.0435
10.73.137.109	2	3	26	32	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03894	0.31250	41.7508	0.1024
10.73.137.109	2	3	27	33	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03895	0.31425	41.7635	0.0850
10.73.137.109	2	3	28	34	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03902	0.24075	42.3487	0.0743
10.73.137.109	2	3	29	35	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03899	0.26675	41.7715	0.0621
10.73.137.109	2	3	30	36	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03901	0.24500	42.5187	0.2381
10.73.137.109	2	3	31	37	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03898	0.27950	41.7157	0.0513
10.73.137.109	2	4	32	40	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03935	0.97325	41.7060	0.0214
10.73.137.109	2	4	33	41	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03936	0.95850	41.5585	0.0750
10.73.137.109	2	4	34	42	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03941	0.91075	42.2390	0.0483
10.73.137.109	2	4	35	43	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03939	0.93675	41.9597	0.0486
10.73.137.109	2	4	36	44	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03938	0.94425	42.0775	0.0837
10.73.137.109	2	4	37	45	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03938	0.93975	41.5913	0.0189
10.73.137.109	2	4	38	46	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03937	0.95375	41.9910	0.0170
10.73.137.109	2	4	39	47	HPK	[May-09-2024-run00, May-17-2024_run00, May-28-2024_run00, Jun-18-2024-run00]	0.03934	0.97975	41.6290	0.0302
